time: 2000000000
129 45 8000001
129 46 8000001
129 47 8000001
129 48 8000001
129 49 8000001
129 50 8000001
129 51 8000001
129 52 8000001
129 53 8000001
129 54 8000001
129 55 8000001
129 56 8000001
129 57 8000001
129 58 8000001
129 59 8000001
129 60 8000001
129 61 8000001
129 62 8000001
129 63 8000001
129 64 8000001
129 65 8000001
time: 2900000000
128 1 9000001
128 2 9000001
128 3 9000001
128 4 9000001
128 5 9000001
128 6 9000001
128 7 9000001
128 8 9000001
128 9 9000001
128 10 9000001
128 11 9000001
128 12 9000001
128 13 9000001
128 14 9000001
128 15 9000001
128 16 9000001
128 17 9000001
128 18 9000001
128 19 9000001
128 20 9000001
128 21 9000001
128 22 9000001
128 23 9000001
128 24 9000001
128 25 9000001
128 26 9000001
128 27 9000001
128 28 9000001
128 29 9000001
128 30 9000001
128 31 9000001
128 32 9000001
128 33 9000001
128 34 9000001
128 35 9000001
128 36 9000001
128 37 9000001
128 38 9000001
128 39 9000001
128 40 9000001
128 41 9000001
128 42 9000001
128 43 9000001
128 44 9000001
128 45 9000001
128 46 9000001
128 47 9000001
128 48 9000001
128 49 9000001
128 50 9000001
128 51 9000001
128 52 9000001
128 53 9000001
128 54 9000001
128 55 9000001
128 56 9000001
128 57 9000001
128 58 9000001
128 59 9000001
128 60 9000001
128 61 9000001
128 62 9000001
128 63 9000001
128 64 9000001
128 65 9000001
129 1 9000001
129 2 9000001
129 3 9000001
129 4 9000001
129 5 9000001
129 6 9000001
129 7 9000001
129 8 9000001
129 9 9000001
129 10 9000001
129 11 9000001
129 12 9000001
129 13 9000001
129 14 9000001
129 15 9000001
129 16 9000001
129 17 9000001
129 18 9000001
129 19 9000001
129 20 9000001
129 21 9000001
129 22 9000001
129 23 9000001
129 24 9000001
129 25 9000001
129 26 9000001
129 27 9000001
129 28 9000001
129 29 9000001
129 30 9000001
129 31 9000001
129 32 9000001
129 33 9000001
129 34 9000001
129 35 9000001
129 36 9000001
129 37 9000001
129 38 9000001
129 39 9000001
129 40 9000001
129 41 9000001
129 42 9000001
129 43 9000001
129 44 9000001
129 45 9000001
129 46 9000001
129 47 9000001
129 48 9000001
129 49 9000001
129 50 9000001
129 51 9000001
129 52 9000001
129 53 9000001
129 54 9000001
129 55 9000001
129 56 9000001
129 57 9000001
129 58 9000001
129 59 9000001
129 60 9000001
129 61 9000001
129 62 9000001
129 63 9000001
129 64 9000001
129 65 9000001
time: 3000000000
128 1 10000001
128 2 10000001
128 3 10000001
128 4 10000001
128 5 10000001
128 6 10000001
128 7 10000001
128 8 10000001
128 9 10000001
128 10 10000001
128 11 10000001
128 12 10000001
128 13 10000001
128 14 10000001
128 15 10000001
128 16 10000001
128 17 10000001
128 18 10000001
128 19 10000001
128 20 10000001
128 21 10000001
128 22 10000001
128 23 10000001
128 24 10000001
128 25 10000001
128 26 10000001
128 27 10000001
128 28 10000001
128 29 10000001
128 30 10000001
128 31 10000001
128 32 10000001
128 33 10000001
128 34 10000001
128 35 10000001
128 36 10000001
128 37 10000001
128 38 10000001
128 39 10000001
128 40 10000001
128 41 10000001
128 42 10000001
128 43 10000001
128 44 10000001
128 45 10000001
128 46 10000001
128 47 10000001
128 48 10000001
128 49 10000001
128 50 10000001
128 51 10000001
128 52 10000001
128 53 10000001
128 54 10000001
128 55 10000001
128 56 10000001
128 57 10000001
128 58 10000001
128 59 10000001
128 60 10000001
128 61 10000001
